frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
510,17.0,961700,60,40,44,48,2112,4224,2405,2421,A4BDE643
511,17.033333333333335,964121,0,0,0,0,0,0,0,16,00000000
512,17.066666666666666,964137,59,41,45,47,2115,4230,2364,2380,D0DA2ADC
513,17.1,966517,59,41,44,47,2068,4136,2261,2277,F1E8B8C5
514,17.133333333333333,968794,65,55,27,33,891,1782,1212,1228,32B63C70
515,17.166666666666668,970022,59,42,43,46,1978,3956,2217,2233,4072B964
516,17.2,972255,59,42,44,46,2024,4048,2196,2212,1D8BBC26
517,17.233333333333334,974467,68,71,27,17,459,918,413,429,A57F0A96
518,17.266666666666666,974896,59,40,45,47,2115,4230,2262,2278,63A03545
519,17.3,977174,60,40,43,48,2064,4128,2328,2344,7E51560F
520,17.333333333333332,979518,59,40,45,48,2160,4320,2405,2421,F957C0AF
521,17.366666666666667,981939,57,40,47,48,2256,4512,2419,2435,EC27F00B
522,17.4,984374,69,52,30,36,1080,2160,1338,1354,A7D204E7
523,17.433333333333334,985728,75,52,23,36,828,1656,977,993,9170F171
